date;GDP;M3_T_IR;Private_Final_Consumption;;;;
1995-01-01;31495000000,000000;9,360000000000000;17589000000,000000;;;;
1995-04-01;32022000000,000000;9,123333333333330;17572000000,000000;;;;
1995-07-01;32046000000,000000;9,030000000000000;17815000000,000000;;;;
1995-10-01;32382000000,000000;8,520000000000000;18005000000,000000;;;;
1996-01-01;32592000000,000000;8,660000000000000;18440000000,000000;;;;
1996-04-01;32990000000,000000;9,693333333333330;18622000000,000000;;;;
1996-07-01;33466000000,000000;9,963333333333330;18891000000,000000;;;;
1996-10-01;33560000000,000000;8,886666666666660;18905000000,000000;;;;
1997-01-01;33420000000,000000;7,530000000000000;19021000000,000000;;;;
1997-04-01;34179000000,000000;7,156666666666670;19258000000,000000;;;;
1997-07-01;34885000000,000000;8,063333333333330;19222000000,000000;;;;
1997-10-01;34305000000,000000;7,886666666666670;19357000000,000000;;;;
1998-01-01;34305000000,000000;8,946666666666670;19696000000,000000;;;;
1998-04-01;34169000000,000000;9,096666666666660;19691000000,000000;;;;
1998-07-01;34350000000,000000;6,776666666666670;19704000000,000000;;;;
1998-10-01;35220000000,000000;4,576666666666670;20107000000,000000;;;;
1999-01-01;35560000000,000000;4,453333333333330;20196000000,000000;;;;
1999-04-01;35823000000,000000;4,683333333333330;20441000000,000000;;;;
1999-07-01;36355000000,000000;4,810000000000000;20587000000,000000;;;;
1999-10-01;36716000000,000000;5,373333333333330;20569000000,000000;;;;
2000-01-01;37634000000,000000;5,956666666666670;20469000000,000000;;;;
2000-04-01;37300000000,000000;6,713333333333330;20809000000,000000;;;;
2000-07-01;37460000000,000000;6,743333333333330;20887000000,000000;;;;
2000-10-01;37728000000,000000;6,666666666666670;20762000000,000000;;;;
2001-01-01;37400000000,000000;6,420000000000000;20772000000,000000;;;;
2001-04-01;38613000000,000000;5,860000000000000;21147000000,000000;;;;
2001-07-01;38546000000,000000;5,730000000000000;21390000000,000000;;;;
2001-10-01;39067000000,000000;4,960000000000000;21510000000,000000;;;;
2002-01-01;39512000000,000000;5,033333333333330;21387000000,000000;;;;
2002-04-01;39847000000,000000;5,823333333333330;21916000000,000000;;;;
2002-07-01;40614000000,000000;5,910000000000000;22278000000,000000;;;;
2002-10-01;41493000000,000000;5,900000000000000;22589000000,000000;;;;
2003-01-01;41629000000,000000;5,830000000000000;22950000000,000000;;;;
2003-04-01;41824000000,000000;5,446666666666670;23206000000,000000;;;;
2003-07-01;42340000000,000000;5,123333333333330;23486000000,000000;;;;
2003-10-01;43004000000,000000;5,293333333333330;24025000000,000000;;;;
2004-01-01;44083000000,000000;5,493333333333330;24570000000,000000;;;;
2004-04-01;44100000000,000000;5,853333333333340;24441000000,000000;;;;
2004-07-01;44137000000,000000;6,443333333333330;25134000000,000000;;;;
2004-10-01;44248000000,000000;6,726666666666670;25346000000,000000;;;;
2005-01-01;44333000000,000000;6,860000000000000;25450000000,000000;;;;
2005-04-01;45439000000,000000;7,043333333333330;26004000000,000000;;;;
2005-07-01;45526000000,000000;7,050000000000000;26053000000,000000;;;;
2005-10-01;45557000000,000000;7,493333333333330;26385000000,000000;;;;
2006-01-01;45957000000,000000;7,553333333333330;26580000000,000000;;;;
2006-04-01;45748000000,000000;7,476666666666670;26556000000,000000;;;;
2006-07-01;46600000000,000000;7,510000000000000;26778000000,000000;;;;
2006-10-01;46947000000,000000;7,643333333333330;27205000000,000000;;;;
2007-01-01;47315000000,000000;7,776666666666670;27538000000,000000;;;;
2007-04-01;47956000000,000000;8,130000000000000;27764000000,000000;;;;
2007-07-01;48469000000,000000;8,656666666666660;27936000000,000000;;;;
2007-10-01;48693000000,000000;8,770000000000000;28056000000,000000;;;;
2008-01-01;48421000000,000000;8,826666666666660;28440000000,000000;;;;
2008-04-01;47699000000,000000;8,753333333333330;27931000000,000000;;;;
2008-07-01;47709000000,000000;8,203333333333330;27974000000,000000;;;;
2008-10-01;47699000000,000000;6,303333333333330;27974000000,000000;;;;
2009-01-01;47307000000,000000;3,673333333333330;27355000000,000000;;;;
2009-04-01;47902000000,000000;2,906666666666670;27897000000,000000;;;;
